price,suburb,region,house_type,bedrooms,bathrooms,floor_area,land_size,furnished,payment_terms,agent_name,agency_name,listing_url,scraped_date,has_pool,has_solar,has_borehole,has_garage,has_garden,has_security,has_inverter,has_generator,amenities_count,missing_suburb,missing_region,location_issue,price_per_sqm_floor,price_per_hectare,price_per_bed,price_per_bath,size_ratio,value_density,amenity_score,energy_score,maintenance_burden,modern_amenities,bed_quality,bath_ratio,land_efficiency,segment,data_quality_score
295000.0,Mandara,Harare East,4 Bedroom House,4.0,2.0,400.0,2200.0,False,,Prince Musokeri,Tripple Horizon Real Estate,https://www.property.co.zw/for-sale/houses-thre238986,2026-04-07,False,False,True,False,True,True,False,False,3,0,0,0,737.5,1340909.0909090908,73750.0,147500.0,0.18181818181818182,0.0013559322033898306,3,0,1,1,0.01,0.5,0.18181818181818182,Premium,6
185000.0,Waterfalls,Harare South,3 Bedroom House,3.0,2.0,250.0,4052.0,False,,CASPER BORIONDO,Rawson Properties Harare,https://www.property.co.zw/for-sale/houses-rws242568,2026-04-07,False,False,True,True,True,True,False,False,4,0,0,0,740.0,456564.6594274432,61666.666666666664,92500.0,0.061697926949654494,0.0013513513513513514,4,0,1,1,0.012,0.6666666666666666,0.061697926949654494,Mid,6
165000.0,Arlington,Harare South,3 Bedroom Townhouse Complex,3.0,2.0,280.0,516.0,False,,Mefort Chimhoga,Camitel,https://www.property.co.zw/for-sale/townhouses-cami240777,2026-04-07,False,True,False,False,True,True,False,False,3,0,0,0,589.2857142857143,3197674.418604651,55000.0,82500.0,0.5426356589147286,0.001696969696969697,3,1,1,1,0.010714285714285714,0.6666666666666666,0.5426356589147286,Mid,6
65000.0,Aspindale Park,Harare West,3 Bedroom House,3.0,2.0,75.0,200.0,False,,Tatenda  Matengambiri,Rawson Properties Harare,https://www.property.co.zw/for-sale/houses-rws239731,2026-04-07,False,False,False,False,True,False,False,False,1,0,0,0,866.6666666666666,3250000.0,21666.666666666668,32500.0,0.375,0.001153846153846154,1,0,0,0,0.04,0.6666666666666666,0.375,Budget,6
60000.0,Dzivarasekwa,Harare High Density,4 Bedroom House,4.0,,200.0,309.0,False,,Tatenda Muchatuta,Legacy Real Estate,https://www.property.co.zw/for-sale/houses-leg239468,2026-04-07,False,False,True,False,True,False,False,False,2,0,0,0,300.0,1941747.572815534,15000.0,,0.6472491909385113,0.0033333333333333335,2,0,0,1,0.02,,0.6472491909385113,Budget,6
215000.0,Hatfield,Harare South,5 Bedroom House,5.0,3.0,400.0,4600.0,False,,"Raymond Chigiya,",Homeslea Real Estate,https://www.property.co.zw/for-sale/houses-hmsl236344,2026-04-07,True,True,False,True,True,False,False,False,4,0,0,0,537.5,467391.30434782605,43000.0,71666.66666666667,0.08695652173913043,0.0018604651162790699,4,1,0,2,0.0125,0.6,0.08695652173913043,Mid,6
250000.0,Glen Lorne,Harare North,3 Bedroom Townhouse Complex,3.0,2.0,500.0,710.0,False,,Nyasha Madzika,Keystone Real Estate,https://www.property.co.zw/for-sale/townhouses-key202709,2026-04-07,False,True,True,True,True,True,True,True,7,0,0,0,500.0,3521126.7605633806,83333.33333333333,125000.0,0.704225352112676,0.002,7,3,1,3,0.006,0.6666666666666666,0.704225352112676,Premium,6
210000.0,Monavale,Harare West,3 Bedroom Townhouse Complex,3.0,2.0,300.0,722.0,False,,Markim Pawandiwa,Clark Properties,https://www.property.co.zw/for-sale/townhouses-clrp243260,2026-04-07,False,False,True,True,True,True,False,False,4,0,0,0,700.0,2908587.2576177283,70000.0,105000.0,0.4155124653739612,0.0014285714285714286,4,0,1,1,0.01,0.6666666666666666,0.4155124653739612,Mid,6
300000.0,Borrowdale,Harare North,8 Unit Townhouse Complex,4.0,3.0,20.0,40.0,False,,Yevai Makoni,Just Property,https://www.property.co.zw/for-sale/townhouses-jspp211718,2026-04-07,False,True,True,True,True,False,False,False,4,0,0,0,15000.0,75000000.0,75000.0,100000.0,0.5,6.666666666666667e-05,4,1,0,2,0.2,0.75,0.5,Premium,6
95000.0,Glaudina,Harare West,3 Bedroom House,3.0,2.0,,400.0,False,,Jane Kucherera,Propertynet Real Estate,https://www.property.co.zw/for-sale/houses-pnt243892,2026-04-07,False,True,False,True,True,False,False,False,3,0,0,0,,2375000.0,31666.666666666668,47500.0,,,3,1,0,1,,0.6666666666666666,,Budget,5
250000.0,Hillside,Harare South,4 Bedroom House,4.0,4.0,420.0,1160.0,False,,Neville Mupunga,Hilton Properties,https://www.property.co.zw/for-sale/houses-htnp242406,2026-04-07,True,True,True,False,True,False,False,False,4,0,0,0,595.2380952380952,2155172.4137931033,62500.0,62500.0,0.3620689655172414,0.00168,4,1,0,3,0.009523809523809525,1.0,0.3620689655172414,Premium,6
33000.0,Dangamvura,Mutare,4 Bedroom House,4.0,2.0,200.0,300.0,False,,Allen Chigwaza,Grapple Properties,https://www.property.co.zw/for-sale/houses-gpp244089,2026-04-07,False,False,True,False,True,True,False,False,3,0,0,0,165.0,1100000.0,8250.0,16500.0,0.6666666666666666,0.006060606060606061,3,0,1,1,0.02,0.5,0.6666666666666666,Budget,6
29000.0,,,4 Bedroom House,4.0,1.0,,221.0,False,,Brian Mudzukwa,Guest and Tanner Real Estate,https://www.property.co.zw/for-sale/houses-gat224610,2026-04-07,False,False,False,False,True,False,False,False,1,1,1,1,,1312217.1945701356,7250.0,29000.0,,,1,0,0,0,,0.25,,Budget,2
65000.0,,,4 Bedroom House,4.0,2.0,300.0,400.0,False,,Rachel Mutyavaviri,GoldenWill Real Estate,https://www.property.co.zw/for-sale/houses-glre241697,2026-04-07,False,False,False,True,True,False,False,False,2,1,1,1,216.66666666666666,1625000.0,16250.0,32500.0,0.75,0.004615384615384616,2,0,0,0,0.013333333333333334,0.5,0.75,Budget,3
750000.0,Borrowdale,Harare North,19 Bedroom House,19.0,19.0,4000.0,8724.0,False,,Tinashe Chikaponya,Fortress Property Consultants (Pvt) Ltd,https://www.property.co.zw/for-sale/houses-fpc207485,2026-04-07,False,False,False,False,True,False,False,False,1,0,0,0,187.5,859697.386519945,39473.68421052631,39473.68421052631,0.4585052728106373,0.005333333333333333,1,0,0,0,0.00475,1.0,0.4585052728106373,Luxury,6
280000.0,Mount Pleasant Heights,Harare North,3 Bedroom House,3.0,3.0,400.0,1175.0,False,,Joseph Dzvuke,Royal Properties,https://www.property.co.zw/for-sale/houses-rpt241668,2026-04-07,False,True,True,False,True,True,False,False,4,0,0,0,700.0,2382978.723404255,93333.33333333333,93333.33333333333,0.3404255319148936,0.0014285714285714286,4,1,1,2,0.0075,1.0,0.3404255319148936,Premium,6
140000.0,Tynwald,Harare West,4 Bedroom House,4.0,2.0,450.0,600.0,False,,Gugulethu Ncube,GoldenWill Real Estate,https://www.property.co.zw/for-sale/houses-glre244051,2026-04-07,False,False,True,True,True,False,False,False,3,0,0,0,311.1111111111111,2333333.3333333335,35000.0,70000.0,0.75,0.0032142857142857142,3,0,0,1,0.008888888888888889,0.5,0.75,Mid,6
140000.0,Sandton Park,Harare West,5 Bedroom House,5.0,4.0,800.0,3000.0,False,,Caroline  Sithole,Leanvest,https://www.property.co.zw/for-sale/houses-lvvn237543,2026-04-07,False,True,True,True,True,False,False,False,4,0,0,0,175.0,466666.6666666667,28000.0,35000.0,0.26666666666666666,0.005714285714285714,4,1,0,2,0.00625,0.8,0.26666666666666666,Mid,6
230000.0,Hogerty Hill,Harare North,7 Bedroom House,7.0,2.0,400.0,4348.0,False,,Sibongile Muchinenyika,Mac Homes,https://www.property.co.zw/for-sale/houses-mac234997,2026-04-07,False,False,False,False,True,False,False,False,1,0,0,0,575.0,528978.8408463661,32857.142857142855,115000.0,0.09199632014719411,0.0017391304347826088,1,0,0,0,0.0175,0.2857142857142857,0.09199632014719411,Mid,6
