price,suburb,region,house_type,bedrooms,bathrooms,floor_area,land_size,furnished,has_pool,has_solar,has_borehole,has_garage,has_garden,has_security,has_inverter,has_generator,amenities_count,missing_suburb,missing_region,location_issue,price_per_sqm_floor,price_per_hectare,price_per_bed,price_per_bath,size_ratio,value_density,amenity_score,energy_score,maintenance_burden,modern_amenities,bed_quality,bath_ratio,land_efficiency,segment,data_quality_score,log_price,house_category,segment_encoded,region_price_enc,suburb_price_enc,house_category_encoded,is_House,is_Townhouse
60000.0,Unknown,Unknown,5 Bedroom House,5.0,3.0,200.0,612.0,0,0,1,1,0,1,0,0,0,3,1,1,1,300.0,980392.1568627452,12000.0,20000.0,0.32679738562091504,98.03921568627452,1,2,1,1,0.025,0.6,0.326797385620915,Budget,7,11.002116507732017,House,0,105000.0,105000.0,0,True,False
295000.0,Mandara,Harare East,4 Bedroom House,4.0,2.0,400.0,2200.0,0,0,0,1,0,1,1,0,0,3,0,0,0,737.5,1340909.0909090908,73750.0,147500.0,0.18181818181818182,134.0909090909091,2,1,1,0,0.01,0.5,0.1818181818181818,Premium,7,12.59473402514672,House,2,250000.0,300000.0,0,True,False
185000.0,Waterfalls,Harare South,3 Bedroom House,3.0,2.0,250.0,4052.0,0,0,0,1,1,1,1,0,0,4,0,0,0,740.0,456564.6594274432,61666.666666666664,92500.0,0.061697926949654494,45.656465942744326,3,1,1,0,0.012,0.6666666666666666,0.0616979269496544,Mid,7,12.128116509451258,House,1,145000.0,135000.0,0,True,False
165000.0,Arlington,Harare South,3 Bedroom Townhouse Complex,3.0,2.0,280.0,516.0,0,0,1,0,0,1,1,0,0,3,0,0,0,589.2857142857143,3197674.418604651,55000.0,82500.0,0.5426356589147286,319.7674418604651,2,1,1,1,0.0107142857142857,0.6666666666666666,0.5426356589147286,Mid,7,12.013706813470414,Townhouse,1,145000.0,190000.0,1,False,True
65000.0,Aspindale Park,Harare West,3 Bedroom House,3.0,2.0,75.0,200.0,0,0,0,0,0,1,0,0,0,1,0,0,0,866.6666666666666,3250000.0,21666.666666666668,32500.0,0.375,325.0,1,0,1,0,0.04,0.6666666666666666,0.375,Budget,7,11.082157933374816,House,0,200000.0,90000.0,0,True,False
60000.0,Dzivarasekwa,Harare High Density,4 Bedroom House,4.0,2.0,200.0,309.0,0,0,0,1,0,1,0,0,0,2,0,0,0,300.0,1941747.572815534,15000.0,30000.0,0.6472491909385113,194.1747572815534,1,1,1,0,0.02,0.5,0.6472491909385113,Budget,7,11.002116507732017,House,0,45000.0,35000.0,0,True,False
215000.0,Hatfield,Harare South,5 Bedroom House,5.0,3.0,400.0,4600.0,0,1,1,0,1,1,0,0,0,4,0,0,0,537.5,467391.30434782605,43000.0,71666.66666666667,0.08695652173913043,46.73913043478261,3,1,2,1,0.0125,0.6,0.0869565217391304,Mid,7,12.278397958261774,House,1,145000.0,215000.0,0,True,False
250000.0,Glen Lorne,Harare North,3 Bedroom Townhouse Complex,3.0,2.0,500.0,710.0,0,0,1,1,1,1,1,1,1,7,0,0,0,500.0,3521126.7605633806,83333.33333333333,125000.0,0.704225352112676,352.11267605633805,3,4,2,3,0.006,0.6666666666666666,0.704225352112676,Premium,7,12.429220196836383,Townhouse,2,470000.0,650000.0,1,False,True
210000.0,Monavale,Harare West,3 Bedroom Townhouse Complex,3.0,2.0,300.0,722.0,0,0,0,1,1,1,1,0,0,4,0,0,0,700.0,2908587.2576177283,70000.0,105000.0,0.4155124653739612,290.85872576177286,3,1,1,0,0.01,0.6666666666666666,0.4155124653739612,Mid,7,12.25486757159303,Townhouse,1,200000.0,217750.0,1,False,True
300000.0,Borrowdale,Harare North,8 Unit Townhouse Complex,4.0,3.0,254.0,40.0,0,0,1,1,1,1,0,0,0,4,0,0,0,1181.1023622047244,75000000.0,75000.0,100000.0,6.35,7500.0,2,2,1,1,0.2,0.75,0.5,Premium,7,12.611541086966115,Townhouse,2,470000.0,700000.0,1,False,True
95000.0,Glaudina,Harare West,3 Bedroom House,3.0,2.0,250.0,400.0,0,0,1,0,1,1,0,0,0,3,0,0,0,380.0,2375000.0,31666.666666666668,47500.0,0.625,237.5,2,1,1,1,,0.6666666666666666,,Budget,7,11.461642696843066,House,0,200000.0,92500.0,0,True,False
250000.0,Hillside,Harare South,4 Bedroom House,4.0,4.0,420.0,1160.0,0,1,1,1,0,1,0,0,0,4,0,0,0,595.2380952380952,2155172.4137931033,62500.0,62500.0,0.3620689655172414,215.51724137931035,2,2,2,1,0.0095238095238095,1.0,0.3620689655172414,Premium,7,12.429220196836383,House,2,145000.0,260000.0,0,True,False
33000.0,Dangamvura,Mutare,4 Bedroom House,4.0,2.0,200.0,300.0,0,0,0,1,0,1,1,0,0,3,0,0,0,165.0,1100000.0,8250.0,16500.0,0.6666666666666666,110.0,2,1,1,0,0.02,0.5,0.6666666666666666,Budget,7,10.404293143019792,House,0,170000.0,33000.0,0,True,False
29000.0,Unknown,Unknown,4 Bedroom House,4.0,1.0,300.0,221.0,0,0,0,0,0,1,0,0,0,1,1,1,1,96.66666666666667,1312217.1945701356,7250.0,29000.0,1.3574660633484164,131.22171945701356,1,0,1,0,,0.25,,Budget,7,10.275085591132715,House,0,105000.0,105000.0,0,True,False
65000.0,Unknown,Unknown,4 Bedroom House,4.0,2.0,300.0,400.0,0,0,0,0,1,1,0,0,0,2,1,1,1,216.66666666666666,1625000.0,16250.0,32500.0,0.75,162.5,2,0,1,0,0.0133333333333333,0.5,0.75,Budget,7,11.082157933374816,House,0,105000.0,105000.0,0,True,False
750000.0,Borrowdale,Harare North,19 Bedroom House,12.0,15.0,4000.0,8724.0,0,0,0,0,0,1,0,0,0,1,0,0,0,187.5,859697.386519945,62500.0,50000.0,0.4585052728106373,85.9697386519945,1,0,1,0,0.00475,1.25,0.4585052728106373,Luxury,7,13.527829818844937,House,3,470000.0,700000.0,0,True,False
